H-ID;title_main;title_alt;author_id;author;publisher_id;publisher;publication_place_id;publication_place;publication_date;url1;url2;genres;PDF
4417;Mái tây (Tây Sương Ký);;3756;Nhượng Tống;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb31621395j;https://gallica.bnf.fr/ark:/12148/bpt6k4243725j.pdf;;True
4419;Một giấc mơ ghê gớm;;2467;Trần Trọng Miên;3303;Éditions Tân Việt;3216;Hà Nội;1940;http://catalogue.bnf.fr/ark:/12148/cb31499011w;https://gallica.bnf.fr/ark:/12148/bpt6k4243543s/f78.item;Tiểu thuyết;True
4420;Mùa gặt mới số 1;La Nouvelle moisson. Mélange;2468;Trương Tửu;3303;Éditions Tân Việt;3216;Hà Nội;1940;http://catalogue.bnf.fr/ark:/12148/cb35755434x;https://gallica.bnf.fr/ark:/12148/bpt6k42385417|https://gallica.bnf.fr/ark:/12148/bpt6k4238542n;;True
4421;Ngàn lẻ một đêm;;;;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb357553381;https://gallica.bnf.fr/ark:/12148/bpt6k42458139.pdf;;True
4422;Nghệ thuật làm việc;Un Art de vivre, Maurois André;2470;André Maurois;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb357553261;https://gallica.bnf.fr/ark:/12148/bpt6k42435943;;True
4423;Nghìn lẽ một ngày;Hézaryeck Rouz;;;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb35755397j;https://gallica.bnf.fr/ark:/12148/bpt6k4245329f.pdf;;True
4424;Ngô Vương Quyền;Lịch sử ký sự;2461;Trần Thanh Mại;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb31489455d;https://gallica.bnf.fr/ark:/12148/bpt6k4242812z.pdf;;True
4425;Nguyễn Văn Siêu: thi ca và tiểu sử;Nguyễn-Văn Siêu : sa vie et ses poèmes;2471;Nguyễn Như Thiệp;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb35756640n;;;False
4426;Nhạc sĩ Tây phương: tiểu-sử Mozart, Beethoven, Schumann, Wagner;Musiciens occidentaux : biographies de Mozart, Beethoven, Schumann, Wagner;2472;B. Đ Ái Mỹ;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb35751168f;https://gallica.bnf.fr/ark:/12148/bpt6k42434102.pdf;;True
4427;Nhất định;Décision, roman;2473;Nguyễn Khắc Mẫn;3303;Éditions Tân Việt;3216;Hà Nội;1940;http://catalogue.bnf.fr/ark:/12148/cb357564852;https://gallica.bnf.fr/ark:/12148/bpt6k4243579d;;True
4428;Những đêm sầu của linh hồn;Les Nuits tristes de l'âme, roman;2474;Phiêu Linh;3303;Éditions Tân Việt;3216;Hà Nội;1940;http://catalogue.bnf.fr/ark:/12148/cb35757966d;https://gallica.bnf.fr/ark:/12148/bpt6k42420801;;True
4430;Những sự gặp gỡ của Đông phương và Tây phương trong ngôn ngữ và văn chương;;2475;Vũ Bội Liêu;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb31609775j;https://gallica.bnf.fr/ark:/12148/bpt6k42437155;;True
4431;Nợ văn: phóng sự. Bữa bún tình;Dettes de lettres. Reportage. En appendice : Bũa̛ bún tình, nouvelles, par Trần Mai Ninh;2476;Lãng Tử;3303;Éditions Tân Việt;3216;Hà Nội;1941;http://catalogue.bnf.fr/ark:/12148/cb35754515p;;;False
